method,checkpoint,checkpoint_step,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,sinusoidal_lateral,medium,406,0.270935960591133,0.2955665024630542,4.195306981196902,1.5736988597902934
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_id,accel_decel,high,397,0.2594458438287154,0.28967254408060455,3.6325653404142866,2.4992386863160663
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_id,accel_decel,low,348,0.3850574712643678,0.43103448275862066,2.926629495156672,1.8806802357511911
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_id,accel_decel,medium,533,0.300187617260788,0.34146341463414637,3.384211491723501,2.0349174138805033
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_id,ar1_velocity,high,387,0.3281653746770026,0.3333333333333333,3.654954012028526,2.056101020510981
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_id,ar1_velocity,low,333,0.05405405405405406,0.09009009009009009,5.278714087503674,1.3896631395604964
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_id,ar1_velocity,medium,397,0.3702770780856423,0.4256926952141058,2.9100918365461794,1.9194847860923339
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_id,crossing_or_sudden_threat,high,240,0.325,0.37916666666666665,3.726107423729263,1.9423241467681613
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_id,crossing_or_sudden_threat,low,111,0.0,0.02702702702702703,4.623481753710154,1.5406353024480897
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_id,crossing_or_sudden_threat,medium,314,0.14331210191082802,0.18789808917197454,5.2338760748007305,2.1572690664211422
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_id,linear,high,335,0.4298507462686567,0.43283582089552236,3.5945434962552207,2.0695490421672265
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_id,linear,low,180,0.25,0.2777777777777778,4.116455427616084,1.9290982022929017
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_id,linear,medium,380,0.3684210526315789,0.4236842105263158,3.008210810794691,2.132466184987725
