method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,sinusoidal_lateral,high,logvar_hat_9_clamped,0,11689,105201,0,0,12.884469897766008,13.350935935974121,14.33732795715332,14.941539764404297,4.974643545732475,5.0,5.0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,sinusoidal_lateral,high,full_aug_obs,0,11689,1098766,0,0,29.484726202050435,29.911285400390625,41.040129852294925,44.985076904296875,9.502296387277298,13.235543441772462,14.68433952331543
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,ar1_velocity,high,obs_i_12,0,7488,89856,0,0,1.4335743579456313,1.4172176122665405,1.9226974785327908,2.3179128170013428,0.8514025485636587,1.0648850619792938,1.428681492805481
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,ar1_velocity,high,z_i_64_raw,0,7488,479232,0,0,28.54338284295339,28.089491844177246,39.64313621520996,46.428184509277344,10.183488387041367,13.608285284042358,15.96605110168457
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,ar1_velocity,high,z_i_64_after_norm,0,7488,479232,0,0,28.54338284295339,28.089491844177246,39.64313621520996,46.428184509277344,10.183488387041367,13.608285284042358,15.96605110168457
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,ar1_velocity,high,delta_hat_9_after_scale,0,7488,67392,0,0,1.3619650548948852,1.31192284822464,2.0204816937446592,3.1490085124969482,1.0536281868868158,1.5023914098739624,2.6638169288635254
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,ar1_velocity,high,logvar_hat_9_clamped,0,7488,67392,0,0,13.162523978222639,13.508511066436768,14.407916593551636,15.0,4.99338221983013,5.0,5.0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,ar1_velocity,high,full_aug_obs,0,7488,703872,0,0,31.58073994402702,31.18505859375,42.17683868408203,48.73014450073242,10.190624879402483,13.608285284042358,15.96605110168457
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,linear,high,obs_i_12,0,7280,87360,0,0,1.4081309193601974,1.3856871128082275,1.902892786264419,2.219637393951416,0.8295189255623372,1.0546918511390684,1.3258925676345825
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,linear,high,z_i_64_raw,0,7280,465920,0,0,24.655550208065534,23.8810977935791,38.92359466552733,44.79840087890625,8.972334911338576,13.387094736099241,15.489978790283203
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,linear,high,z_i_64_after_norm,0,7280,465920,0,0,24.655550208065534,23.8810977935791,38.92359466552733,44.79840087890625,8.972334911338576,13.387094736099241,15.489978790283203
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,linear,high,delta_hat_9_after_scale,0,7280,65520,0,0,1.3410669435086855,1.3246573209762573,1.9680032849311822,3.3769054412841797,1.0267570482945623,1.463633131980896,2.8413596153259277
