training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc,action_norm,action_delta,no_response_rate,source_phase
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_mixed_ood,accel_decel,low,116,0.25,0.25862068965517243,3.513433535117656,2.0180668997093467,1.5228607222951691,0.11831685452689898,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_mixed_ood,accel_decel,medium,449,0.3273942093541203,0.3830734966592428,2.744004228263046,1.75070907170071,1.5347655679707006,0.09436331160847754,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_mixed_ood,ar1_velocity,high,595,0.44537815126050423,0.5025210084033613,2.0377328694879004,2.035526463347833,1.5402118179978443,0.14364961648375546,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_mixed_ood,ar1_velocity,low,223,0.22869955156950672,0.336322869955157,2.9572435790388907,1.1216987808128964,1.5704196782390099,0.0863740156517435,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_mixed_ood,ar1_velocity,medium,421,0.28978622327790976,0.3254156769596199,2.9221863878173022,1.63610444457182,1.5645473631997007,0.11572353631222616,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_mixed_ood,crossing_or_sudden_threat,high,324,0.22839506172839505,0.28703703703703703,2.7049250410191346,2.1098937366888713,1.5293302926016443,0.11395022062078854,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_mixed_ood,crossing_or_sudden_threat,low,180,0.17777777777777778,0.2222222222222222,2.8053255916262665,1.727094302682037,1.5270311766200595,0.08710238294055064,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_mixed_ood,crossing_or_sudden_threat,medium,339,0.2536873156342183,0.3480825958702065,2.6781460190614945,2.1981990933588844,1.5008760755744304,0.12419482166700307,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_mixed_ood,linear,high,144,0.4583333333333333,0.4722222222222222,2.7311042643313055,2.3822560419986867,1.5206563133332465,0.10471279153393374,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_mixed_ood,linear,low,24,0.25,0.5416666666666666,2.383215807378292,1.1569901740779616,1.664483870069186,0.0766523890197277,0.0,nan
