repair_stage,source,block,dim,count,nan_count,inf_count,mean,std,min,max,p01,p05,p50,p95,p99,scenario
before_fix,online_normalized_active,ego_current,7,100,0,0,-949975.3375,217939.28921149913,-999974.0625,0.0,-999974.0625,-999974.0625,-999974.0625,-949975.3000000028,0.0,
before_fix,online_normalized_active,ego_current,8,100,0,0,6843.187768554688,1569.9349439371792,0.0,7203.357421875,0.0,6843.186767578126,7203.35546875,7203.356494140625,7203.357421875,
before_fix,online_normalized_active,ego_current,9,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
before_fix,online_normalized_active,obs_current,0,100,0,0,-0.6395575800724328,0.33611386206729194,-1.4692717790603638,0.02825022116303444,-1.3793416130542755,-1.1326475143432617,-0.6298387348651886,-0.09694207198917866,-0.015115612652152553,
before_fix,online_normalized_active,obs_current,1,100,0,0,-0.2004570758342743,1.3598535486000927,-2.6078593730926514,2.6876914501190186,-2.2571387004852297,-2.0275241851806642,-0.6095687747001648,1.858260416984558,2.3085925984382647,
before_fix,online_normalized_active,obs_current,2,100,0,0,0.01120559664675966,0.2537224534814404,-0.47672033309936523,0.4049444794654846,-0.4501610055565834,-0.3676479935646057,-0.03245035745203495,0.4049444794654846,0.4049444794654846,
before_fix,online_normalized_active,obs_current,3,100,0,0,5.107923035025596,1.8165660982989142,-1.545878291130066,8.836875915527344,-0.20132546737790108,1.7273593902587894,5.71322226524353,7.357952427864074,8.422239961624147,
before_fix,online_normalized_active,obs_current,4,100,0,0,0.7555180522799492,1.0241247639094049,-2.030576229095459,2.1286089420318604,-1.1438933217525482,-0.845250478386879,1.3430577516555786,1.9987119674682616,2.0002486002445226,
before_fix,online_normalized_active,obs_current,5,100,0,0,-0.0012908531120046974,0.2759031983478115,-1.5543992519378662,0.5916545391082764,-0.7448768728971481,-0.343434602022171,0.0034466616343706846,0.2679068148136139,0.2711443215608613,
before_fix,online_normalized_active,obs_current,6,100,0,0,-0.32497509095817806,0.5443743731428744,-1.1989750862121582,1.957629919052124,-1.1989750862121582,-1.1989750862121582,-0.2649265229701996,0.19093014374375322,1.7372678554058085,
